Date,Open,High,Low,Close,Adj Close,Volume
8/23/2002,96.010002,96.150002,94.150002,94.599998,70.247101,33716400
8/26/2002,94.910004,95.639999,93.5,95.260002,70.737221,33830100
8/27/2002,95.699997,96.25,93.5,94.160004,69.920364,35335700
8/28/2002,93.279999,93.489998,91.800003,92.099998,68.390686,38970600
8/29/2002,91.269997,93.050003,90.809998,92.139999,68.42041,42965700
8/30/2002,91.68,93.389999,91.400002,91.779999,68.153076,30366700
9/3/2002,90.730003,91,88.150002,88.279999,65.554054,76586400
9/4/2002,88.610001,90.25,88.059998,89.540001,66.489693,51099500
9/5/2002,88.489998,89.43,87.5,88.779999,65.925323,67250900
9/6/2002,89.75,90.57,89.339996,90,66.831276,38622200
9/9/2002,89.099998,91.349998,88.800003,90.660004,67.321381,33998400
9/10/2002,91.139999,91.779999,90.559998,91.699997,68.093613,41416600
9/11/2002,92.470001,93.330002,91.099998,91.129997,67.670387,27711200
9/12/2002,90.75,90.839996,88.989998,89.449997,66.422882,43601700
9/13/2002,88.690002,89.900002,88.25,89.669998,66.586205,41131000
